"행정구역","2025년10월_총인구수","2025년10월_세대수","2025년10월_세대당 인구","2025년10월_남자 인구수","2025년10월_여자 인구수","2025년10월_남여 비율"
"서울특별시  (1100000000)","9,313,532","4,503,798","          2.07","4,489,067","4,824,465","          0.93"
"서울특별시 종로구 (1111000000)","137,449","72,409","          1.90","65,925","71,524","          0.92"
"서울특별시 중구 (1114000000)","118,331","64,120","          1.85","56,829","61,502","          0.92"
"서울특별시 용산구 (1117000000)","202,507","103,214","          1.96","96,459","106,048","          0.91"
"서울특별시 성동구 (1120000000)","274,424","133,109","          2.06","132,555","141,869","          0.93"
"서울특별시 광진구 (1121500000)","331,786","171,205","          1.94","158,814","172,972","          0.92"
"서울특별시 동대문구 (1123000000)","344,357","175,850","          1.96","167,961","176,396","          0.95"
"서울특별시 중랑구 (1126000000)","377,054","189,015","          1.99","184,215","192,839","          0.96"
"서울특별시 성북구 (1129000000)","423,705","199,197","          2.13","202,481","221,224","          0.92"
"서울특별시 강북구 (1130500000)","279,632","142,415","          1.96","134,522","145,110","          0.93"
"서울특별시 도봉구 (1132000000)","300,627","139,131","          2.16","145,105","155,522","          0.93"
"서울특별시 노원구 (1135000000)","485,290","217,192","          2.23","232,209","253,081","          0.92"
"서울특별시 은평구 (1138000000)","456,727","214,821","          2.13","215,901","240,826","          0.90"
"서울특별시 서대문구 (1141000000)","300,843","146,337","          2.06","142,192","158,651","          0.90"
"서울특별시 마포구 (1144000000)","358,523","180,519","          1.99","166,399","192,124","          0.87"
"서울특별시 양천구 (1147000000)","426,242","179,859","          2.37","207,452","218,790","          0.95"
"서울특별시 강서구 (1150000000)","550,248","273,372","          2.01","262,953","287,295","          0.92"
"서울특별시 구로구 (1153000000)","384,991","184,528","          2.09","188,215","196,776","          0.96"
"서울특별시 금천구 (1154500000)","223,588","121,554","          1.84","112,288","111,300","          1.01"
"서울특별시 영등포구 (1156000000)","371,876","192,505","          1.93","181,545","190,331","          0.95"
"서울특별시 동작구 (1159000000)","373,084","187,189","          1.99","179,993","193,091","          0.93"
"서울특별시 관악구 (1162000000)","478,282","288,753","          1.66","240,622","237,660","          1.01"
"서울특별시 서초구 (1165000000)","413,236","173,127","          2.39","196,315","216,921","          0.91"
"서울특별시 강남구 (1168000000)","556,462","245,450","          2.27","265,939","290,523","          0.92"
"서울특별시 송파구 (1171000000)","645,052","286,553","          2.25","308,877","336,175","          0.92"
"서울특별시 강동구 (1174000000)","499,216","222,374","          2.24","243,301","255,915","          0.95"
